rara_id	birth_date	death_date
a12431825	1900	NA
a12173502	1950	NA
a1217287x	1985	NA
a12170240	1950	NA
a12365166	1962	NA
a12368441	1964	NA
a12631656	2000	NA
a12363893	1950	NA
a12371026	1900	NA
a12432945	NA	2023
a1262777x	1950	NA
a12627318	1850	NA
a12373217	1562	NA
a12055992	1952	NA
a12056856	1983	NA
a12056625	NA	2025
a12054689	NA	2021
a11428892	NA	1709
a11438241	1800	NA
a11439592	NA	1799
a12561721	2022	NA
a12487399	1946	NA
a12788661	1619	NA
a12772665	2000	NA
a11419106	NA	2009
a12005113	NA	2023
a12103299	1524	NA
a12767098	1950	NA
a12565738	2000	NA
a12771594	1975	NA
a12770024	NA	1869
a12765910	2000	NA
a12563110	1900	NA
a12564448	1918	NA
a12556828	2000	NA
a12729917	1993	NA
a12105016	1950	NA
a12099715	1948	NA
a12725985	2000	NA
a12560698	1567	1625
a12010741	1950	NA
a12722017	1900	NA
a12723113	1901	NA
a12561514	1950	NA
a12560893	1939	NA
a11989464	1950	NA
a12581628	1946	NA
a12586080	1950	NA
a12580120	1950	NA
a12127899	NA	2020
a12584964	1615	NA
a1257935x	1973	NA
a11591080	1520	1526
a12579385	1967	NA
a12127425	1920	2004
a12471987	1950	NA
a11246716	NA	1079
a11583678	NA	1599
a11977474	1950	NA
a11240593	NA	2025
a12462123	2000	NA
a12129860	1974	NA
a1198949x	1968	NA
a12464302	1963	NA
a12085327	1950	NA
a12455830	1950	NA
a11591067	1475	1543
a12579361	1950	NA
a12580570	1950	NA
a12465422	NA	1967
a12454746	1900	NA
a11977486	1950	NA
a12094055	1950	NA
a12132858	1980	NA
a11591092	1400	NA
a12578022	1950	NA
a12579592	1495	1560
a11248099	1630	NA
a12586031	1950	NA
a12132846	1950	NA
a11239153	NA	2022
a11584798	NA	2007
a12584095	1500	1587
a12488860	1900	NA
a1275528x	1972	NA
a12487314	1900	NA
a12485123	1950	NA
a11195319	NA	1996
a11826137	NA	2025
a11458094	1600	1600
a12284075	NA	1961
